text,polarity,sentiment
b two years covid live heaof city xe x xs ya stay safe maskup getvaccinatednow xe x xa,0.318181818,positive
b yveerangnayen like youth veerangnayen us also distribute masks help social service xe x xa,0.033333333,positive
b capt_amarinder go green dr choice n premium pain amp etching free ear loop ffp bis isi niosh compliance govt n xe x xa,0.1,positive
b yveerangnayen nitiaayog regularly spreading awareness weldone corona n youthveerangnayen xe x xa,0,neutral
b yveerangnayen covid weldone sisters xf xf x xd n youthveerangnayen responsibility aware precautions xe x xa,0.25,positive
b status covid cases madurai corporation areas n covid maskup maduraicity,0,neutral
b yveerangnayen truely yveerangnayen best service covid n youthveerangnayen n masks n nitiaayog n maskupindia xe x xa,0.675,positive
b love new mask supervisor bought n nshe got whole unit adorable customized masks cou xe x xa,0.334090909,positive
b yveerangnayen nitiaayog good step taken hisar team really appreciable xf xf x xdwork done taking xe x xa,0.45,positive
b holy inspiration saint dr gurmeet ram rahim singh ji insan roma insan derasachasauda volunteer fro xe x xa,0,neutral
b yveerangnayen youthveerangnayen nmask distribution good work xf xf x xc xf xf x xc xf xf x xd xf xf x xd n maskup n getvaccinated,0.7,positive
b look maskup n tweeter da best playground revolution lykeidk man,1,positive
b covid done us yet n n maskup n getvaccinated,0,neutral
b yveerangnayen covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup n covidappropriatebehaviour xe x xa,0,neutral
b dssnewsupdates gurmeetramrahim appreciable work n maskup,0,neutral
b yveerangnayen nitiaayog great work n awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.8,positive
b dssnewsupdates gurmeetramrahim great work n maskup,0.8,positive
b order wb govt n schoolreopen collegereopen covidprotocols maskup socialdistanceing,0,neutral
b dssnewsupdates gurmeetramrahim mask distribution going full enthusiasm dss volunteers every xe x xa,0.35,positive
b yveerangnayen mask make free diseases n covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup xe x xa,0.4,positive
b im still sad disturb hearing jimmie getting appendicitis covid people please xf xf x xb maskup bts xe x xa,-0.5,negative
b dssnewsupdates gurmeetramrahim great donation n maskup,0.8,positive
b yveerangnayen important work covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup xe x xa,0.4,positive
b humans going make image reddit covid ottawa maskup staysafe,0,neutral
b dssnewsupdates gurmeetramrahim great humanity work dera sacha sauda volunteers xf xf x xf xf xf x xf n maskup,0.8,positive
b wearing mask sign respect towards people concerns virus might agree xe x xa,0,neutral
b yveerangnayen covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup n covidappropriatebehaviour xe x xa,0,neutral
b yveerangnayen appreciable work done youthveerangnayen n covid n youthveerangnayen n masks n nitiaayog xe x xa,0,neutral
b yveerangnayen nitiaayog awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia well done,0,neutral
b getwellsoonjimin n getwellsoonjimin wishing jimin speedy recovery everyone pls maskup,0,neutral
b travel patco must wear facial covering please remember also practice social distancing maskup xe x xa,0.016666667,positive
b yveerangnayen yes follow guidelines stop spreading covid n youthveerangnayen spreading awarenes xe x xa,0,neutral
b skynews believe vaccine believe mandate must take right choose xe x xa,0.285714286,positive
b dssnewsupdates gurmeetramrahim great humanity work dss volunteers xf xf x xd n maskup,0.8,positive
b masks work well working n n covid covid maskup masks,0,neutral
b dssnewsupdates gurmeetramrahim great work done dss volunteers inspired saint dr gurmeetramrahim sin xe x xa,0.8,positive
b yveerangnayen yes best way protect covid n covid n youthveerangnayen n masks xe x xa,1,positive
b dssnewsupdates gurmeetramrahim appreciable work n maskup,0,neutral
b joshuapotash jamesweeksii omicron get us herd immunity innocent casualties like war waronstupidity maskup,0.5,positive
b yveerangnayen nitiaayog great xf xf x xd xf xf x xd xf xf x xd encouraging people save lives n awarenesscampaigns xe x xa,0.8,positive
b nikkimariediary patterdude never one lied get numbers needed call pandemic xe x xa,0,neutral
b yveerangnayen mask strong pato fight covid everyone wear mask proper way good work xe x xa,0.377777778,positive
b covid cases continuing fall public called upon guard complacency pandemi xe x xa,0,neutral
b yveerangnayen nitiaayog great work xf xf x xc n awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.8,positive
b good morning xe x x xef xb xf nearlier morning picking iguanas putting sun xf xf xa xe xe x xa,0.7,positive
b many people googling covid appendicitis seeing xe x xs probable connection getwellsoonjimin getvaccinatednow maskup,0.5,positive
b christinapushaw florida kids aged years old vaccinated n getkidsvaccinated n maskup,0,neutral
b understand virus xe x xt ever going away right n xf xf x xa n n maskup,0.285714286,positive
b india covid update n n posrate xf xf x xbc xf xf xa xe xf xf xf xbc n newcases xf xf x xbd k k n newdeaths xf xf x xbc xf xf xa xa n n activecases xf xf x xbd xe x xa,0,neutral
b dssnewsupdates gurmeetramrahim appreciable work n maskup,0,neutral
b patterdude xf xf xa x maskup sick provider data prove work virus xe x xa,-0.714285714,negative
b yveerangnayen mask distribution youthveerangnayen maskup maskupindia covid covidappropriatebehaviour xe x xa,0,neutral
b yveerangnayen nitiaayog really great work done youthveerangnayen keep sisters awarenesscampaigns xe x xa,0.8,positive
b dssnewsupdates gurmeetramrahim great humanity work coronavirus maskup saintgurmeetramrahimji,0.8,positive
b foxorlando getkidsvaccinated kids aged years old vaccinated nlow booster rates xe x xa,0,neutral
b cdc says n kn market counterfeit amp fail meet strict standards set national xe x xa,-0.5,negative
b yveerangnayen nitiaayog awarenesscampaigns great way slow spread covid great work youthv xe x xa,0.433333333,positive
b yveerangnayen covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup n covidappropriatebehaviour xe x xa,0,neutral
b indiafightscorona rajasthan nst jan covid pm bulletin n nplz keep maskup xf xf x xb amp staysafe n n positive cases xe x xa,0.227272727,positive
b yveerangnayen covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup n covidappropriatebehaviour xe x xa,0,neutral
b indiafightscorona rajasthan nst jan covid pm bulletin n nplz keep maskup xf xf x xb amp staysafe n n positive cases xe x xa,0.227272727,positive
b yveerangnayen covid n youthveerangnayen n masks n nitiaayog n maskupindia n maskup n covidappropriatebehaviour xe x xa,0,neutral
b rajasthan covid update cases jaipur jodhpur deaths active cases maskup xe x xa,-0.133333333,negative
b yveerangnayen nitiaayog good method aware people posting posters buses sides vehic xe x xa,0.475,positive
b covid cases jaipur maskup staysafe,0,neutral
b make mask wearing fun practice makes perfect let work together model safe mask looks like n n xf xf x xb xf xf x x xf xf x xd xf xf xf xbe xe x xa,0.6,positive
b dssnewsupdates gurmeetramrahim great work covid n maskup,0.8,positive
b yveerangnayen nitiaayog spreading awareness covid great initiative good job yveerangnayen xe x xa,0.75,positive
b dssnewsupdates gurmeetramrahim great work dss volunteers inspiration saint dr gurmeet ram rahim xe x xa,0.8,positive
b ksorbs xe x xs okay elect ignorance personal go safe place nit xe x xs okay force ignorance misin xe x xa,0.46,positive
b covid nme amp family gone day quarantine drs instructions feeling well alhamdolil xe x xa,0,neutral
b happy monday today exchange rates dailyexchangerates bosl allthebankyouneed xe x xa,0.8,positive
b masking works vaccines safe effective parents suppothese mitigation strategies maskup xe x xa,0.55,positive
b xe x xcmasks xe x xt work xe x xd considered xe x xcmisinformation xe x xd xe x xanow know true n n joerogan maskup spotify xe x xa,0.35,positive
b getwellsoonjimin wishing jimin speedy recovery everyone pls maskup,0,neutral
b yveerangnayen covid n youthveerangnayen great work today time nkeep good work n masks xe x xa,0.75,positive
b xe x xs mask guvna maskup,0,neutral
b might know booked birthday parties customize imaginative painting involvi xe x xa,0.6,positive
b run done maskup teamasthma,0,neutral
b yveerangnayen xe x xs great work done youthveerangnayen wearing mask beneficial way protect xe x xa,0.8,positive
b xe x xt worldwide airborne pandemic yrs n nour scientists never ability liaise xe x xa,0,neutral
b markmobility still feeling effects omicron weeks testing positive joke maskup vaccinated,0.227272727,positive
b pepejeansindia day mood pepe xf xf x x n n pepejeansindia pepeison thenewblue welovepepe mypepejeans xe x xa,0,neutral
b glory n oluwafrosh n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b masks debate continues pro btw late thephoenixmag thanks pete one xe x xa,-0.05,negative
b yveerangnayen appreciable work youthveerangnaye wearing mask important saves life protect xe x xa,0.4,positive
b nwoke oma n officialchike n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b apparently nyt opinion found way jump let get many people killed wagon n vaccinate xe x xa,0.116666667,positive
b yveerangnayen nitiaayog fabulous humanity work xe xd xa n awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.4,positive
b atlantic n addxcion n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b woman n emmovich_ n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b eball good day thank suggestion may kindly note rollover suspended due unr xe x xa,0.391666667,positive
b yveerangnayen xe x xs great deed done youthveerangnayen wearing mask beneficial way protect xe x xa,0.8,positive
b gm woke like n skincare facefa maskup mascherine castellodirivoli,0,neutral
b united sikhs donated knmarks town hempstead received town supervisor donald x clavin jr amp town xe x xa,0,neutral
b maxalbanese yeah lot us gotten covid yet xe x xre trying keep way n n maskup n getvaccinatednow,0,neutral
b legal n i_am__dagreat n doordieglobal n n motivationmonday breakfastinthecity n melody_hassan x xe x xa,0.2,positive
b gone far n zinoleesky n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0.1,positive
b dssnewsupdates gurmeetramrahim great humanity work xf xf x xc maskup,0.8,positive
b makaveli n tclassic_mne n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b local control xe x xt working xe x xa mask work covid maskup masks,0,neutral
b chinese know bio security right way maskup vaccineswork vaccinemandate vaccinepassport,0.142857143,positive
b xe xa xa xef xb xfupdated xe xa xa npharmacy vaccine sessions walk amp bookable xf xf x x xf xf xf xbd xf xf x x xf xf xf xbd xf xf x x xf xf xf xbd n grabajab covidvaccination vaccinessavelives xe x xa,0,neutral
b rolled house sign yard nomask noride maskup,0,neutral
b champion sound n focalistic n n motivationmonday breakfastinthecity n melody_hassan xe x xa,0.4,positive
b call n lilkeshofficial zinoleesky n n motivationmonday breakfastinthecity n melody_hassan xe x xa,0,neutral
b vibration n fireboydml n n motivationmonday breakfastinthecity n melody_hassan x djgeelincon xe x xa,0,neutral
b best way control spread covid wearing mask maintaining social distance getting vaccinated xe x xa,0.516666667,positive
b harleydonnarn prayers full recovery vaccineswork n maskup n getboostednow,0.35,positive
b kidlargo mooonchild work new concept maskup,0.136363636,positive
b yveerangnayen nitiaayog permanent campaign people forget continuously take xe x xa,0,neutral
b good morning xe x x xef xb xf memphis xe x x xef xb xf xf xf xd xa xf xf xa xae getvaccinated getboosted xf xf x x maskup xf xf x xb,0.7,positive
b photo gavin newsome magic johnson hanging la maskless covid maskup blm xe x xa,0.5,positive
b covid omicron many vintage folk lords wealth shields covid exposure death maskup xe x xa,0.5,positive
b maskless bronx bound train xe x xcar mta n n thanksfornothingman maskupnyc wearadamnmask masklessinnyc xe x xa,0,neutral
b maskless bronx bound train xe x xcar mta n n thanksfornothingman maskupnyc wearadamnmask masklessinnyc xe x xa,0,neutral
b hours electricity amp nothing blankets car warm us hotels lost power xe x xa,0.6,positive
b dssnewsupdates gurmeetramrahim appreciable work n maskup,0,neutral
b tanakapraise good day kindly confirm referring modem wireless router ngj maskup staysafe,0.65,positive
b sue_madawu kindly check dm provided response ngj maskup staysafe,0.6,positive
b cho going take notice make recommendations n n maskup,0,neutral
b omicron posed threats us must protect deadly viruses mask ra xe x xa,-0.2,negative
b tomasmorales_iv great see agree masks required packed stadium outside wonderful news maskup xf xf x xb,0.6,positive
b yveerangnayen nitiaayog super n awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.333333333,positive
b takuemoyo sincerely apologise inconveniences caused ngj maskup staysafe,0.5,positive
b lawrencemandev good day kindly check dm provided response ngj maskup staysafe,0.65,positive
b r v e n b p u r p e n nthe n n drivenbypurpose thewhy cnft nft ada maskup xe x xa,0,neutral
b happy everybody whiskeytangofoxtrot nobodiesfaultbutmine sleepwhendead outlawtranscendentalist resist xe x xa,0.8,positive
b maskup california else xe x xa nexcept rich amp famous like extra special governor california xe x xa,0.308035714,positive
b yveerangnayen nitiaayog spreading awareness covid great initiative good job yveerangnayen xe x xa,0.75,positive
b protection virus mask distribution dss volunteers following pious teachings saint dr xe x xa,0,neutral
b cameralassy vaccine xe x xt makes immune virus still get spread maskup xf xf x xba xf xf x xba,0,neutral
b yveerangnayen nitiaayog youth veerangnayen team efforts spread awareness corona prevention really c xe x xa,0.2,positive
b major success factors successful recruitment retention n n clinicalresearch clinicaltrials cro science xe x xa,0.370833333,positive
b defeat covid everyone help vaxup booster maskup,0,neutral
b materiaword teavangelize great news n nwe must see pandemic end unless unite xe x xa,0.8,positive
b yveerangnayen nitiaayog youth veerangnayen make society aware every possible way protect covid xe x xa,0.125,positive
b dior n rugerofficial n n motivationmonday breakfastinthecity n melody_hassan xe x xa,0,neutral
b yveerangnayen nitiaayog awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia women pl xe x xa,0,neutral
b theblondern every time need good small bottle hand sanitizer immediately saniti xe x xa,0.225,positive
b covid omicron maskup always omicron airborne reinstate school masks covid soars ignore johnson contin xe x xa,0,neutral
b payalra yveerangnayen nitiaayog great xf xf x xd awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.8,positive
b let n thisiswurld n n motivationmonday breakfastinthecity n melody_hassan xe x xa,0,neutral
b whether kariba safari lodge crowned eagle boutique hotel make valentine day special n n maskup xe x xa,0.357142857,positive
b get masked layer mask n washable n free air circulation n longevity guarantee n n xe x xa,0.4,positive
b wuhan updating virus xf xf xa xa variants literally apple software updates neocov xf xf x xb xe x xa,0,neutral
b handpainted customized mask nimisha creations fabindianews myntra maskupindia maskup masks maskmandate xe x xa,0,neutral
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf baddest boy skiibii n davido n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b nru vaccinated ndo maskup ndo sociallydistance nme yes nthem nwho cares fine xe x xa,0.416666667,positive
b greenswelfares gurmeetramrahim taking pain social welfare needs courage rare world w xe x xa,0.166666667,positive
b delighted take another big step forward morning wonderful see library_mu maynoothuni bus xe x xa,0.566666667,positive
b jay inslee kiss dead ass xf xf xa xb n covid n maskup xf xf x xb n getvaccinated xf xf x x,-0.2,negative
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf odg themaineltee n n motivationmonday breakfastinthecity n bybisasa amp xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf big thug boys babyboyav n n motivationmonday breakfastinthecity xe x xa,0.068181818,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf omo ope asakemusik n olamide n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b mask distribution dss volunteers following pious teachings saint dr gurmeetramrahim singh ji insan ro xe x xa,0,neutral
b yveerangnayen nitiaayog awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia ngreat humanity work xf xf x xd,0,neutral
b xe x xs mild xe x xs definitely bad flu maskup getvaxxed,-0.183333333,negative
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf ameno amapiano remix wan na bamba goyamenor n n motivationmonday xe x xa,-0.031818182,negative
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf self esteem reekadobanks n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b sue_madawu good day apologies late response kindly check dm provided response ngj maskup staysafe,0.333333333,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf nwoke chikeofficial n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf body breezygrillo n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b talentraz good morning kindly check dm provided response ngj maskup staysafe,0.65,positive
b coolkudzie good morning kindly check dm provided response ngj maskup staysafe,0.65,positive
b yveerangnayen nitiaayog helpful us really great work youthveerangnayen vaccination import xe x xa,0.8,positive
b australians wearing masks get hassled covid nazi karen camera xe x xa,0,neutral
b yveerangnayen nitiaayog great going ur efforts limitless n awarenesscampaigns n covidappropriatebehaviour xe x xa,0.8,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf pour water kizzdaniel n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf fan deejayneptune n lojaymusic n zlatan_ibile n n motivationmonday xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf peru remix fireboydml n edsheeran n motivationmonday breakfastinthecity wi xe x xa,0.136363636,positive
b outside open xe x xt lose guard n ndon xe x xt forget n xf xf x xb n xf xf xa xa xf xf xf xbd n xf xf xa xaa xf xf x xac n xf xf x x n xf xf xa xbc xf xf x x xf xf xf xbd xf xf xa xbf xe x xa,0,neutral
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf dkmv iamdoncarter n n motivationmonday breakfastinthecity n bybisasa xe x xa,0.136363636,positive
b maskup offer protection variants covid omicronvarient neocov,0,neutral
b study mask wearing young children reducing covid spread n safeedforall n maskup n,0.1,positive
b hi realjusticem kindly get letter merchant confirming get service transaction h xe x xa,0.6,positive
b pharmfarm alpha virion layer applied facemask science covidisairborne alpha maskup,0,neutral
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf mj remix badboytimz n iammayorkun n n motivationmonday breakfastinthecity w xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf come way wandecoal n n motivationmonday breakfastinthecity xe x xa,0.136363636,positive
b ayeeeee issa new week xf xf xd xbe xf xf xa xb n n xf xf x xaa xe x xb xef xb xf finally holmes x deejayneptune n n motivationmonday breakfastinthecity wit xe x xa,0.068181818,positive
b light vein xf xf x xa neven captcha completely automated public turing test tell computers humans apa xe x xa,0.166666667,positive
b still selling great low price get masks run covid covid maskup coronavirus xe x xa,0.4,positive
b leadership title designation n n mondaymotivation n maskup,0,neutral
b newsmax vaxup maskup nthe mashup smahealth,0,neutral
b yveerangnayen nitiaayog work done youth veerangnayen helpful avoiding corona epidemic societ xe x xa,0,neutral
b yveerangnayen nitiaayog youth veerangnayen good job nd spreading awareness nd knowledge among people xe x xa,0.7,positive
b cbsla tomorrow californian xe x xs drop kids school gut check realize xe x xa,0,neutral
b say maskup masks,0,neutral
b may week kind us xe xd xa xef xb xf n nmanifesting god xe x xs protection immeasurable blessings xf xf x xf n n getvaxxed xf xf x x maskup xf xf x xb staysafe xe xd xa xef xb xf xe x xd xf xf xa xb,0.6,positive
b yveerangnayen nitiaayog good job xf xf x xd awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.7,positive
b mask distribution dss volunteers following pious teachings saint dr gurmeetramrahim singh ji insan xe x xa,0,neutral
b slowing mean covid disappeared please continue mask sanitize follow social distancing xe x xa,-0.139583333,negative
b i_am_mathoe good morning may kindly check dm provided response ngj maskup staysafe,0.65,positive
b takuemoyo good morning sincere apologies inconveniences caused kindly check dm provided xe x xa,0.6,positive
b maskbillion_nft going moon baby moving fast let xe x xs go xf xf xa x xf xf xa x xf xf xa x nfts nftcommunity nftdrop xe x xa,0.2,positive
b prevent spread covid please maintain distance others n socialdistancing n maskup n covid xe x xa,0,neutral
b kajalaggarwal shows new hair style xf xf x x notice mask maskup n n kajal kajalism newhairstyle xe x xa,0.136363636,positive
b yveerangnayen nitiaayog appreciable work done youthveerangnayen n awarenesscampaigns xe x xa,0,neutral
b daysofgratitude nyear day n love nlove one another n takecare pray manifest makeithappen praytogether xe x xa,0.5,positive
b krell good morning may kindly provide landline number assist ngj maskup staysafe,0.65,positive
b gavinnewsom ramsnfl ers maskup tax cattle,0,neutral
b costs gh xc xa thank god simple things like alive n maskup xf xf x xb n wearamask xf xf x xb,0.05,positive
b yveerangnayen nitiaayog need wear mask outing seconds need wash hands sani xe x xa,0,neutral
b yveerangnayen nitiaayog awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia ncovid vaccin xe x xa,0,neutral
b insurgency terrorists flee abandon trucks troops clear xc xaenclaves n afcon egypt edge morocco face cam xe x xa,0.1,positive
b devinenews elex_michaelson foxla rickatfox kylekraska ramsnfl maskup tax cattle,0,neutral
b yveerangnayen nitiaayog youthveerangnaye great work awareness covid important xe x xa,0.6,positive
b today hindu hyderabad rd page maskup mohfw_india lavagarwal sujakrao telanganahealth ts_health,0,neutral
b middaylifestyle n n masks still save lives thirdwave begins guide maskup n nvia nascim xe x xa,0,neutral
b yveerangnayen nitiaayog appreciable work done youthveerangnayen n awarenesscampaigns xe x xa,0,neutral
b yveerangnayen nitiaayog great job xf xf x xc xf xf x xc xf xf x xc n awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.8,positive
b precautions ok please n maskup sanitizer stayhome,0.5,positive
b sarahbeth possibly wearing mask indoors maskup,0,neutral
b dumbass showing us iq score n n vaccinate n maskup,0,neutral
b yveerangnayen nitiaayog great initiative xf xf x xf awarenesscampaigns n covidappropriatebehaviour n covid n maskup n maskupindia,0.8,positive
b pediatric covid cases hospitalizations increased significantly across united states cur xe x xa,0.375,positive
b god balances lives giving us enough blessings keep us happy enough burdens keep us humble enough xe x xa,0.12,positive
b horrifying yet accurate xf xf x x please people good make good choices others xf xf x xf covid xe x xa,0.225,positive
b guy dry cleaners maskless xe x xi xe x xt hear mask xe x x nme practice need practic xe x xa,-0.066666667,negative
b xe xa xa xef xb xfupdated npharmacy vaccine sessions walk amp bookable xf xf x x xf xf xf xbd xf xf x x xf xf xf xbd xf xf x x xf xf xf xbd nbook n grabajab xe x xa,0,neutral
b check kolkatans think pandemic masks covidprotocol masks maskup maskupkolkata xe x xa,0,neutral
b hebrews_ know vaccine keeps hospital amp morgue right still transmit xe x xa,0.285714286,positive
b gmtahwa good morning kindly note activated account may switch modem minutes xe x xa,0.65,positive
b enough knowledge stay safe prevent illness knowledge must utilized xe x xa,0.25,positive
